date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:19	79/79	---MCZ	200	added ('OK')	text/plain	etag:W/%2240-5948aa2b1a209%22	http://vlxddaiphucvinh.net/robots.txt		(from )
22:21:19	61004/61004	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Nov%202022%2015:21:18%20GMT	http://vlxddaiphucvinh.net/	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/index.html	(from )
22:21:19	6508/6508	---M--	200	added ('OK')	image/png	etag:%225d9ef34f-196c%22	http://vlxddaiphucvinh.net/upload/hinhanh/untitled-4-8097_40x11.594202898551.png	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/upload/hinhanh/untitled-4-8097_40x11.594202898551.png	(from http://vlxddaiphucvinh.net/)
22:21:21	109519/109519	---MCZ	200	added ('OK')	text/css	etag:W/%225d9ef360-1abcf%22	http://vlxddaiphucvinh.net/js/bootstrap/css/bootstrap.min.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/js/bootstrap/css/bootstrap.min.css	(from http://vlxddaiphucvinh.net/)
22:21:21	24791/24791	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ebd8c-60d7%22	http://vlxddaiphucvinh.net/style.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/style.css	(from http://vlxddaiphucvinh.net/)
22:21:22	6173/6173	---MCZ	200	added ('OK')	text/css	etag:W/%225d9ef339-181d%22	http://vlxddaiphucvinh.net/css/default.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/css/default.css	(from http://vlxddaiphucvinh.net/)
22:21:22	7050/7050	---MCZ	200	added ('OK')	text/css	etag:W/%225d9ef339-1b8a%22	http://vlxddaiphucvinh.net/css/fonts.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/css/fonts.css	(from http://vlxddaiphucvinh.net/)
22:21:22	27470/27470	---MCZ	200	added ('OK')	text/css	etag:W/%225d9ef35f-6b4e%22	http://vlxddaiphucvinh.net/css/font-awesome/css/font-awesome.min.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/css/font-awesome/css/font-awesome.min.css	(from http://vlxddaiphucvinh.net/)
22:21:23	48042/48042	---MCZ	200	added ('OK')	text/css	etag:W/%225d9ef339-bbaa%22	http://vlxddaiphucvinh.net/css/jquery.mmenu.all.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/css/jquery.mmenu.all.css	(from http://vlxddaiphucvinh.net/)
22:21:23	1828/1828	---MCZ	200	added ('OK')	text/css	etag:W/%225d9ef339-724%22	http://vlxddaiphucvinh.net/css/slick.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/css/slick.css	(from http://vlxddaiphucvinh.net/)
22:21:23	2735/2735	---MCZ	200	added ('OK')	text/css	etag:W/%225d9ef339-aaf%22	http://vlxddaiphucvinh.net/css/slick-theme.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/css/slick-theme.css	(from http://vlxddaiphucvinh.net/)
22:21:23	71976/71976	---MCZ	200	added ('OK')	text/css	etag:W/%225d9ef339-11928%22	http://vlxddaiphucvinh.net/css/animate.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/css/animate.css	(from http://vlxddaiphucvinh.net/)
22:21:24	1056/1056	---MCZ	200	added ('OK')	text/css	etag:W/%225d9ef349-420%22	http://vlxddaiphucvinh.net/js/jssor/jssor.css	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/js/jssor/jssor.css	(from http://vlxddaiphucvinh.net/)
22:21:26	7229/7229	---M--	200	added ('OK')	image/jpeg	etag:%225d9ef34d-1c3d%22	http://vlxddaiphucvinh.net/upload/hinhanh/bg-ft-02-5804_1366x304.jpg	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/upload/hinhanh/bg-ft-02-5804_1366x304.jpg	(from http://vlxddaiphucvinh.net/)
22:21:26	2411/2411	---M--	200	added ('OK')	image/png	etag:%225d9ef339-96b%22	http://vlxddaiphucvinh.net/images/hot_07.png	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/images/hot_07.png	(from http://vlxddaiphucvinh.net/)
22:21:27	41607/41607	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20Nov%202022%2015:21:26%20GMT	http://vlxddaiphucvinh.net/gioi-thieu	D:/5th-1/clonevlxd/vlxddaiphucvinh.net/gioi-thieu.html	(from http://vlxddaiphucvinh.net/)
